symbol,side,direction,entry_price,exit_price,quantity,margin_used,leverage,effective_position,profit_pct,pnl_usd,hold_time_minutes,confidence,win_probability_used,market_regime,signal_strength,outcome,timestamp
ALGO/USDT,sell,SHORT,95.93008561726542,97.97629184789268,0.26060645978930014,0.5,50,25.0,0.02133018247050316,0.533254561762579,357.4970536909202,83.67970371634006,0.8583985185817002,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:35.748514
AAVE/USDT,sell,SHORT,195.9074687289595,201.13542499262076,0.12761126547241455,0.5,50,25.0,0.026685844585609998,0.66714611464025,109.0042275386499,87.07658500959963,0.9053829250479981,NORMAL,MODERATE,WIN,2025-05-29 12:50:35.749506
SUSHI/USDT,sell,SHORT,90.87047403646751,94.94079946389432,0.27511686568254473,0.5,50,25.0,0.04479260695606517,1.1198151739016293,247.29350656215283,80.33269175252484,0.8416634587626242,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:35.750507
1INCH/USDT,buy,LONG,61.472743946296,62.93356617386757,0.4066843025884866,0.5,50,25.0,0.023763738753028042,0.594093468825701,225.66113851135418,91.21506550248907,0.93,NORMAL,HIGH,WIN,2025-05-29 12:50:36.253387
KNC/USDT,buy,LONG,96.04317371724606,99.11589714214446,0.2602996031097508,0.5,50,25.0,0.031993147518683394,0.7998286879670848,173.7343079493679,89.50778305427058,0.8875389152713529,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:36.254378
ALPHA/USDT,buy,LONG,42.008486344537474,43.29199883371651,0.595117848211897,0.5,50,25.0,0.030553647628533,0.763841190713325,23.42344131130849,84.37331646084526,0.8918665823042263,NORMAL,MODERATE,WIN,2025-05-29 12:50:36.255399
ONE/USDT,buy,LONG,40.451459831851714,41.58196918219966,0.6180246671917352,0.5,50,25.0,0.027947306600237403,0.6986826650059351,215.32690428384052,84.88063775342225,0.8944031887671112,NORMAL,MODERATE,WIN,2025-05-29 12:50:36.256378
HBAR/USDT,sell,SHORT,30.356886688874464,29.729161707686597,0.8235363611632244,0.5,50,25.0,-0.020678173872748343,-0.5169543468187086,77.12566917389147,88.27463994552375,0.8813731997276187,HIGH_VOLATILITY,MODERATE,LOSS,2025-05-29 12:50:36.256378
AXS/USDT,buy,LONG,1.3393838019399795,1.3949795519854506,18.66529964285793,0.5,50,25.0,0.0415084533387259,1.0377113334681476,56.987592471680145,84.9473260134494,0.864736630067247,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:36.257378
ICP/USDT,buy,LONG,76.20576166640735,77.6514684468063,0.3280591841524809,0.5,50,25.0,0.018971095476055685,0.4742773869013921,292.60089618225294,89.26465700569307,0.9163232850284653,NORMAL,MODERATE,WIN,2025-05-29 12:50:36.258399
FLOW/USDT,buy,LONG,9.391214752283265,9.507760948020792,2.6620624338211205,0.5,50,25.0,0.012410129979105311,0.3102532494776328,203.3714799371164,85.98476855693873,0.8699238427846936,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:36.259418
CHZ/USDT,buy,LONG,29.322644147114808,30.413541016646732,0.852583412142928,0.5,50,25.0,0.037203223012862635,0.9300805753215659,351.4028054037957,90.02834780866583,0.93,NORMAL,HIGH,WIN,2025-05-29 12:50:36.259418
ZIL/USDT,buy,LONG,102.73022805616958,104.58457614710194,0.24335583083034534,0.5,50,25.0,0.018050656812700284,0.4512664203175071,52.61466384354307,85.39492691233401,0.89697463456167,NORMAL,MODERATE,WIN,2025-05-29 12:50:36.259418
VET/USDT,sell,SHORT,38.152517170779234,37.71170063491354,0.6552647598084914,0.5,50,25.0,-0.011554061659745806,-0.28885154149364517,264.6903999366534,89.02640452453629,0.9151320226226815,NORMAL,MODERATE,LOSS,2025-05-29 12:50:36.766048
QTUM/USDT,sell,SHORT,60.12993863355288,60.7855616853063,0.4157662649941546,0.5,50,25.0,0.010903437898863529,0.2725859474715882,89.14575381715669,83.73558983842446,0.8886779491921223,NORMAL,MODERATE,WIN,2025-05-29 12:50:36.767041
ONT/USDT,buy,LONG,3.0035210565151553,3.1220060851128446,8.32356408681427,0.5,50,25.0,0.0394487091544356,0.98621772886089,295.56563634857116,80.0,0.84,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:36.768050
ZEN/USDT,buy,LONG,50.576133798072796,52.22289014587285,0.4943042918190126,0.5,50,25.0,0.032559949211910924,0.8139987302977731,198.9023835764147,80.12051823348236,0.8406025911674118,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:36.769037
XEM/USDT,buy,LONG,97.4148458650826,101.15627494118053,0.2566343946653105,0.5,50,25.0,0.038407175445103345,0.9601793861275836,107.17484400503093,80.79369286679227,0.8439684643339613,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:36.772040
SKL/USDT,sell,SHORT,74.3112318199695,76.48271401055614,0.3364228985002749,0.5,50,25.0,0.02922145330395529,0.7305363325988823,206.1888055731595,85.08656570743894,0.8954328285371946,NORMAL,MODERATE,WIN,2025-05-29 12:50:36.772040
COTI/USDT,buy,LONG,0.17027987229058877,0.17343930915045355,146.81711739445396,0.5,50,25.0,0.018554376494205237,0.4638594123551309,96.59236723148186,89.96367780199908,0.8898183890099953,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:37.278710
ARB/USDT,buy,LONG,93.58126291284164,96.60254975677448,0.26714749536223015,0.5,50,25.0,0.03228516852510074,0.8071292131275184,348.3847330893838,86.56275031859067,0.9028137515929534,NORMAL,MODERATE,WIN,2025-05-29 12:50:37.279710
OP/USDT,buy,LONG,37.78827710452261,38.77781679662254,0.6615808371164911,0.5,50,25.0,0.02618641991437855,0.6546604978594638,282.5835044421234,82.55309704469049,0.8827654852234524,NORMAL,MODERATE,WIN,2025-05-29 12:50:37.280726
GMX/USDT,buy,LONG,12.645208226296978,12.832635412373298,1.977033478026087,0.5,50,25.0,0.014821992862604345,0.37054982156510863,138.72900757102207,85.88124328076618,0.8994062164038309,NORMAL,MODERATE,WIN,2025-05-29 12:50:37.280726
BLUR/USDT,buy,LONG,77.59739737177709,81.47601232133391,0.322175753913787,0.5,50,25.0,0.049983827820590236,1.2495956955147558,165.783507552005,89.2370614225047,0.8861853071125234,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:37.281726
PEPE/USDT,buy,LONG,0.12618611051333622,0.1329070424561986,198.12006169536247,0.5,50,25.0,0.0532620580468091,1.3315514511702276,349.08725613895416,91.57481672870898,0.9078740836435448,HIGH_VOLATILITY,HIGH,WIN,2025-05-29 12:50:37.281726
FLOKI/USDT,sell,SHORT,0.3626971451497908,0.3792688787437877,68.92803082217594,0.5,50,25.0,0.04569027855775611,1.1422569639439029,230.73424981012195,83.83380172756816,0.8591690086378407,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:37.281726
APE/USDT,buy,LONG,52.74153325156584,55.87408157485271,0.47400973120662504,0.5,50,25.0,0.059394335548518855,1.4848583887129714,134.5382898018513,89.78187521303694,0.8889093760651847,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:37.283732
LDO/USDT,buy,LONG,50.79025640318047,51.907099829308066,0.4922203936429529,0.5,50,25.0,0.02198932443384278,0.5497331108460695,43.445911557860825,92.80251271684986,0.93,NORMAL,HIGH,WIN,2025-05-29 12:50:37.283732
FTT/USDT,buy,LONG,76.86171137836091,80.21505752022013,0.32525947642428266,0.5,50,25.0,0.04362830441482058,1.0907076103705144,278.02752199683925,91.62110658557019,0.93,NORMAL,HIGH,WIN,2025-05-29 12:50:37.790429
X2Y2/USDT,buy,LONG,76.36184150144206,79.12621757221183,0.32738864737210255,0.5,50,25.0,0.03620101370548501,0.9050253426371252,321.53939889628174,87.58713380706946,0.9079356690353473,NORMAL,MODERATE,WIN,2025-05-29 12:50:37.793430
CAKE/USDT,buy,LONG,57.9567937867559,60.87906772004692,0.4313558146778112,0.5,50,25.0,0.05042159412825912,1.260539853206478,156.0086614000777,82.89316240148004,0.8544658120074001,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:37.795504
BANANA/USDT,buy,LONG,31.574371973025226,32.8430761938435,0.7917813859087403,0.5,50,25.0,0.04018145545071041,1.0045363862677603,323.2989116123745,94.02922578024294,0.93,NORMAL,HIGH,WIN,2025-05-29 12:50:37.795504
MAGIC/USDT,sell,SHORT,49.550804085294466,49.053532523632455,0.5045326803772175,0.5,50,25.0,-0.010035590155227942,-0.25088975388069856,352.28535904490866,82.80903078687913,0.8540451539343956,HIGH_VOLATILITY,MODERATE,LOSS,2025-05-29 12:50:37.796503
TREASURE/USDT,sell,SHORT,86.42180484735117,89.86384066169035,0.2892788462837368,0.5,50,25.0,0.039828325969573614,0.9957081492393404,240.7906085451321,80.19910137663992,0.8409955068831996,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:37.797501
STAR/USDT,sell,SHORT,58.11064898329654,57.198357835249375,0.4302137463167217,0.5,50,25.0,-0.015699207701318205,-0.39248019253295513,343.5729908279631,90.72165087477595,0.93,NORMAL,HIGH,LOSS,2025-05-29 12:50:38.307766
NAKA/USDT,sell,SHORT,55.5259730526651,57.13581535368947,0.4502397459345391,0.5,50,25.0,0.02899259954431543,0.7248149886078857,278.71362478831634,85.94047681731846,0.8697023840865923,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:38.308766
GAME/USDT,sell,SHORT,14.50121647972494,15.247460262778803,1.7239932963523485,0.5,50,25.0,0.051460771177179135,1.2865192794294784,46.32705216507349,92.07140044530777,0.93,NORMAL,HIGH,WIN,2025-05-29 12:50:38.308766
HERO/USDT,sell,SHORT,2.668604792324647,2.6246919409195417,9.368191225581313,0.5,50,25.0,-0.016455359568942472,-0.4113839892235618,324.1812131776425,92.85442207314071,0.93,NORMAL,HIGH,LOSS,2025-05-29 12:50:38.309766
SKILL/USDT,buy,LONG,38.851727215997236,40.5464015217728,0.6434720356449488,0.5,50,25.0,0.04361902101170379,1.0904755252925948,147.04420350939944,90.36858020477578,0.93,NORMAL,HIGH,WIN,2025-05-29 12:50:38.309766
MOBOX/USDT,buy,LONG,3.476029091511074,3.592101780214373,7.192114721091757,0.5,50,25.0,0.0333923237255879,0.8348080931396974,120.20982506852255,86.1970590580831,0.8709852952904155,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:38.310768
BABYDOGE/USDT,buy,LONG,0.9614151776608323,1.0097163233114175,26.003334023523696,0.5,50,25.0,0.05023963296284147,1.255990824071037,139.06085170287827,87.2188821390357,0.8760944106951785,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:38.311768
AKITA/USDT,sell,SHORT,22.989630186956024,23.520257019389813,1.087446809570022,0.5,50,25.0,0.023081138240094758,0.577028456002369,286.1041697069042,87.22955317524409,0.9061477658762205,NORMAL,MODERATE,WIN,2025-05-29 12:50:38.313768
ELONGATE/USDT,buy,LONG,33.767499522010795,35.11723206515258,0.7403568624826412,0.5,50,25.0,0.03997135003324663,0.9992837508311657,29.23513841574592,81.19668642857417,0.8459834321428709,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:38.314767
MOONSHOT/USDT,sell,SHORT,71.15266918708073,72.33847536987876,0.351357163204487,0.5,50,25.0,0.01666565985993042,0.41664149649826054,22.920796594351014,82.88139775717494,0.8844069887858746,NORMAL,MODERATE,WIN,2025-05-29 12:50:38.314767
DIAMOND/USDT,buy,LONG,68.66716765960194,69.66795875972014,0.36407501360665445,0.5,50,25.0,0.014574521335718064,0.3643630333929516,61.201437689591906,84.12930561591189,0.8606465280795594,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:38.315767
MOON/USDT,buy,LONG,77.63062550675559,79.58990238715157,0.32203785344772784,0.5,50,25.0,0.025238452834899155,0.6309613208724789,193.7634617712887,92.17621006106472,0.93,NORMAL,HIGH,WIN,2025-05-29 12:50:38.817941
TOKEN168/USDT,sell,SHORT,58.74183562257204,61.83676377703608,0.42559105848564155,0.5,50,25.0,0.05268694996781468,1.317173749195367,232.9684935412806,82.12560904006679,0.850628045200334,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:38.821946
TOKEN169/USDT,buy,LONG,67.40439547181799,69.16512877867112,0.37089569344854645,0.5,50,25.0,0.026121936032929706,0.6530484008232427,294.03543597804577,82.96697031427878,0.8548348515713938,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:38.822927
